blocked_id,timestamp,symbol,direction,strategy,confidence,entry_price,stop_loss,take_profit,blocked_reason,session,position_size_units,risk_amount,margin_required,market_conditions,indicators
BLOCKED_USD_JPY_1770780481027,2026-02-11T03:28:01.545199,USD_JPY,sell,trend_following,0.895,153.649,154.249,152.349,Pre-check margin insufficient: 0.04x,tokyo,213790,641.1134519999939,803986.3917121051,"{""session"": ""tokyo"", ""session_quality"": 0.7, ""volatility"": 0.10280722159259695, ""spread_pips"": 1.8000000000000682, ""trend_strength"": -0.5, ""trend_direction"": ""bearish"", ""order_flow"": 0.0, ""multi_tf_bias"": -0.95, ""regime"": ""neutral""}","{""rsi"": 36.48724024401829, ""macd"": -0.10821331812141466, ""macd_signal"": -0.1149779590497609, ""bb_upper"": 154.04677032458065, ""bb_lower"": 153.5301296754192, ""atr"": 0.10280722159259695, ""momentum"": -0.033999999999991815, ""stoch_k"": 28.632478632475422, ""stoch_d"": 22.90394790394471}"
BLOCKED_EUR_JPY_1770780482773,2026-02-11T03:28:03.880039,EUR_JPY,sell,trend_following,0.89,182.968,183.56799999999998,181.66799999999998,Pre-check margin insufficient: 0.04x,tokyo,202855,608.3215739999941,1071949.7751344678,"{""session"": ""tokyo"", ""session_quality"": 0.7, ""volatility"": 0.10403085933661181, ""spread_pips"": 2.800000000002001, ""trend_strength"": -0.5, ""trend_direction"": ""bearish"", ""order_flow"": 0.0, ""multi_tf_bias"": -0.8999999999999999, ""regime"": ""neutral""}","{""rsi"": 37.53377071308683, ""macd"": -0.09262604273496322, ""macd_signal"": -0.0926388058967101, ""bb_upper"": 183.2995070539539, ""bb_lower"": 182.88129294604585, ""atr"": 0.10403085933661181, ""momentum"": -0.0730000000000075, ""stoch_k"": 28.00988336179255, ""stoch_d"": 21.65078250759097}"
BLOCKED_USD_JPY_1770780562063,2026-02-11T03:29:22.575755,USD_JPY,sell,trend_following,0.895,153.673,154.273,152.373,Pre-check margin insufficient: 0.04x,tokyo,213829,641.2304051999938,804258.6622405335,"{""session"": ""tokyo"", ""session_quality"": 0.7, ""volatility"": 0.10280722159259695, ""spread_pips"": 2.0999999999986585, ""trend_strength"": -0.5, ""trend_direction"": ""bearish"", ""order_flow"": 0.0, ""multi_tf_bias"": -0.95, ""regime"": ""neutral""}","{""rsi"": 36.48724024401829, ""macd"": -0.10821331812141466, ""macd_signal"": -0.1149779590497609, ""bb_upper"": 154.04677032458065, ""bb_lower"": 153.5301296754192, ""atr"": 0.10280722159259695, ""momentum"": -0.033999999999991815, ""stoch_k"": 28.632478632475422, ""stoch_d"": 22.90394790394471}"
BLOCKED_EUR_JPY_1770780564095,2026-02-11T03:29:25.140088,EUR_JPY,sell,trend_following,0.89,182.997,183.597,181.697,Pre-check margin insufficient: 0.04x,tokyo,202855,608.3215739999941,1072119.6766663142,"{""session"": ""tokyo"", ""session_quality"": 0.7, ""volatility"": 0.10403085933661181, ""spread_pips"": 2.899999999999636, ""trend_strength"": -0.5, ""trend_direction"": ""bearish"", ""order_flow"": 0.0, ""multi_tf_bias"": -0.8999999999999999, ""regime"": ""neutral""}","{""rsi"": 37.53377071308683, ""macd"": -0.09262604273496322, ""macd_signal"": -0.0926388058967101, ""bb_upper"": 183.2995070539539, ""bb_lower"": 182.88129294604585, ""atr"": 0.10403085933661181, ""momentum"": -0.0730000000000075, ""stoch_k"": 28.00988336179255, ""stoch_d"": 21.65078250759097}"
BLOCKED_EUR_JPY_1770780634082,2026-02-11T03:30:35.138147,EUR_JPY,sell,trend_following,0.87,183.001,183.601,181.701,Pre-check margin insufficient: 0.04x,tokyo,200708,601.8831503999943,1060795.640210572,"{""session"": ""tokyo"", ""session_quality"": 0.7, ""volatility"": 0.10481436843144953, ""spread_pips"": 2.7999999999991587, ""trend_strength"": -0.5, ""trend_direction"": ""bearish"", ""order_flow"": 0.0, ""multi_tf_bias"": -0.7, ""regime"": ""neutral""}","{""rsi"": 39.54417303514239, ""macd"": -0.08668532404044527, ""macd_signal"": -0.09144812964557253, ""bb_upper"": 183.28403091071752, ""bb_lower"": 182.87636908928212, ""atr"": 0.10481436843144953, ""momentum"": -0.05000000000001137, ""stoch_k"": 34.674997089522776, ""stoch_d"": 28.198635323739143}"
BLOCKED_EUR_JPY_1770780703180,2026-02-11T03:31:44.179090,EUR_JPY,sell,trend_following,0.87,183.005,183.605,181.70499999999998,Pre-check margin insufficient: 0.04x,tokyo,200708,601.8831503999943,1060818.8268738186,"{""session"": ""tokyo"", ""session_quality"": 0.7, ""volatility"": 0.10481436843144953, ""spread_pips"": 2.899999999999636, ""trend_strength"": -0.5, ""trend_direction"": ""bearish"", ""order_flow"": 0.0, ""multi_tf_bias"": -0.7, ""regime"": ""neutral""}","{""rsi"": 39.54417303514239, ""macd"": -0.08668532404044527, ""macd_signal"": -0.09144812964557253, ""bb_upper"": 183.28403091071752, ""bb_lower"": 182.87636908928212, ""atr"": 0.10481436843144953, ""momentum"": -0.05000000000001137, ""stoch_k"": 34.674997089522776, ""stoch_d"": 28.198635323739143}"
BLOCKED_USD_JPY_1770780993549,2026-02-11T03:36:34.052546,USD_JPY,sell,trend_following,0.9,153.631,154.231,152.331,Pre-check margin insufficient: 0.04x,tokyo,214350,642.7927799999939,805997.9141061751,"{""session"": ""tokyo"", ""session_quality"": 0.7, ""volatility"": 0.09868581695856378, ""spread_pips"": 1.5999999999991132, ""trend_strength"": -0.5, ""trend_direction"": ""bearish"", ""order_flow"": 0.0, ""multi_tf_bias"": -1.0, ""regime"": ""neutral""}","{""rsi"": 37.59833378120808, ""macd"": -0.09692060107894918, ""macd_signal"": -0.1093903077919837, ""bb_upper"": 153.96411338606367, ""bb_lower"": 153.54518661393615, ""atr"": 0.09868581695856378, ""momentum"": -0.08400000000000318, ""stoch_k"": 32.61594895280451, ""stoch_d"": 31.053978987157944}"
BLOCKED_EUR_JPY_1770780997331,2026-02-11T03:36:38.319090,EUR_JPY,sell,trend_following,0.875,182.969,183.569,181.66899999999998,Pre-check margin insufficient: 0.04x,tokyo,201245,603.4935059999942,1063447.8397164815,"{""session"": ""tokyo"", ""session_quality"": 0.7, ""volatility"": 0.10254191301226077, ""spread_pips"": 2.899999999999636, ""trend_strength"": -0.5, ""trend_direction"": ""bearish"", ""order_flow"": 0.0, ""multi_tf_bias"": -0.75, ""regime"": ""neutral""}","{""rsi"": 39.38358127270424, ""macd"": -0.08120259259013096, ""macd_signal"": -0.089399039976291, ""bb_upper"": 183.25797684112356, ""bb_lower"": 182.87802315887606, ""atr"": 0.10254191301226077, ""momentum"": -0.11999999999997613, ""stoch_k"": 37.33675040736932, ""stoch_d"": 33.34054361956157}"
BLOCKED_USD_JPY_1770781106579,2026-02-11T03:38:27.114476,USD_JPY,sell,trend_following,0.9,153.659,154.259,152.35899999999998,Pre-check margin insufficient: 0.04x,tokyo,214358,642.8167703999939,806174.8982089111,"{""session"": ""tokyo"", ""session_quality"": 0.7, ""volatility"": 0.09868581695856378, ""spread_pips"": 1.300000000000523, ""trend_strength"": -0.5, ""trend_direction"": ""bearish"", ""order_flow"": 0.0, ""multi_tf_bias"": -1.0, ""regime"": ""neutral""}","{""rsi"": 37.59833378120808, ""macd"": -0.09692060107894918, ""macd_signal"": -0.1093903077919837, ""bb_upper"": 153.96411338606367, ""bb_lower"": 153.54518661393615, ""atr"": 0.09868581695856378, ""momentum"": -0.08400000000000318, ""stoch_k"": 32.61594895280451, ""stoch_d"": 31.053978987157944}"
BLOCKED_USD_JPY_1770781207281,2026-02-11T03:40:07.818743,USD_JPY,sell,trend_following,0.9,153.659,154.259,152.35899999999998,Pre-check margin insufficient: 0.04x,tokyo,214357,642.8137715999939,806171.1373280565,"{""session"": ""tokyo"", ""session_quality"": 0.7, ""volatility"": 0.09868581695856378, ""spread_pips"": 1.500000000001478, ""trend_strength"": -0.5, ""trend_direction"": ""bearish"", ""order_flow"": 0.0, ""multi_tf_bias"": -1.0, ""regime"": ""neutral""}","{""rsi"": 37.59833378120808, ""macd"": -0.09692060107894918, ""macd_signal"": -0.1093903077919837, ""bb_upper"": 153.96411338606367, ""bb_lower"": 153.54518661393615, ""atr"": 0.09868581695856378, ""momentum"": -0.08400000000000318, ""stoch_k"": 32.61594895280451, ""stoch_d"": 31.053978987157944}"
