blocked_id,timestamp,symbol,direction,strategy,confidence,entry_price,stop_loss,take_profit,blocked_reason,session,position_size_units,risk_amount,margin_required,market_conditions,indicators
BLOCKED_AUD_JPY_1770627932604,2026-02-09T09:05:33.669113,AUD_JPY,buy,trend_following,0.89,110.243,109.643,110.643,Pre-check margin insufficient: 0.02x,london,62117,186.27645959999822,167607.3534309405,"{""session"": ""london"", ""session_quality"": 0.9, ""volatility"": 0.10311585501117408, ""spread_pips"": 2.400000000000091, ""trend_strength"": 1.0, ""trend_direction"": ""bullish"", ""order_flow"": 0.0, ""multi_tf_bias"": 0.8999999999999999, ""regime"": ""neutral""}","{""rsi"": 55.98087527143991, ""macd"": 0.04006092283464113, ""macd_signal"": 0.03458162332737637, ""bb_upper"": 110.3162128802777, ""bb_lower"": 109.98488711972249, ""atr"": 0.10311585501117408, ""momentum"": 0.07800000000000296, ""stoch_k"": 68.31757093081269, ""stoch_d"": 76.3420428215652}"
BLOCKED_USD_JPY_1770639531472,2026-02-09T12:18:52.033381,USD_JPY,sell,trend_following,0.87,156.405,157.005,156.005,Pre-check margin insufficient: 0.04x,london,49130,147.33104399999863,188074.09007257503,"{""session"": ""london"", ""session_quality"": 0.9, ""volatility"": 0.08760857701430111, ""spread_pips"": 1.9000000000005457, ""trend_strength"": -1.0, ""trend_direction"": ""bearish"", ""order_flow"": 0.0, ""multi_tf_bias"": -0.7, ""regime"": ""neutral""}","{""rsi"": 38.19469853425508, ""macd"": -0.05195550550601524, ""macd_signal"": -0.03156584993474228, ""bb_upper"": 156.78957249057515, ""bb_lower"": 156.36892750942468, ""atr"": 0.08760857701430111, ""momentum"": -0.1560000000000059, ""stoch_k"": 22.223362076660774, ""stoch_d"": 18.624684821397675}"
BLOCKED_USD_JPY_1770639891635,2026-02-09T12:24:52.171893,USD_JPY,sell,trend_following,0.87,156.5,157.1,156.1,Pre-check margin insufficient: 0.04x,london,49171,147.4539947999986,188345.37284325,"{""session"": ""london"", ""session_quality"": 0.9, ""volatility"": 0.08692225042664861, ""spread_pips"": 1.5999999999991132, ""trend_strength"": -1.0, ""trend_direction"": ""bearish"", ""order_flow"": 0.0, ""multi_tf_bias"": -0.7, ""regime"": ""neutral""}","{""rsi"": 36.207565001559594, ""macd"": -0.05395870203744835, ""macd_signal"": -0.036044413103792146, ""bb_upper"": 156.776862328566, ""bb_lower"": 156.3534376714338, ""atr"": 0.08692225042664861, ""momentum"": -0.160000000000025, ""stoch_k"": 27.373256490358575, ""stoch_d"": 22.630256287055882}"
BLOCKED_EUR_JPY_1770639959347,2026-02-09T12:26:00.393957,EUR_JPY,buy,trend_following,0.9,185.9,185.3,186.3,Pre-check margin insufficient: 0.03x,london,46706,140.06195279999866,250764.26323548603,"{""session"": ""london"", ""session_quality"": 0.9, ""volatility"": 0.10500574557863726, ""spread_pips"": 2.600000000001046, ""trend_strength"": 1.0, ""trend_direction"": ""bullish"", ""order_flow"": 0.0, ""multi_tf_bias"": 1.0, ""regime"": ""neutral""}","{""rsi"": 62.01769244532288, ""macd"": -0.0008640177780989688, ""macd_signal"": -0.007515440627923484, ""bb_upper"": 185.8848841046669, ""bb_lower"": 185.67791589533314, ""atr"": 0.10500574557863726, ""momentum"": 0.12999999999999545, ""stoch_k"": 72.37196853418642, ""stoch_d"": 56.669528208168664}"
BLOCKED_EUR_JPY_1770640035333,2026-02-09T12:27:16.344995,EUR_JPY,buy,trend_following,0.9,185.893,185.293,186.293,Pre-check margin insufficient: 0.03x,london,46706,140.06195279999866,250754.82079415926,"{""session"": ""london"", ""session_quality"": 0.9, ""volatility"": 0.10500574557863726, ""spread_pips"": 2.600000000001046, ""trend_strength"": 1.0, ""trend_direction"": ""bullish"", ""order_flow"": 0.0, ""multi_tf_bias"": 1.0, ""regime"": ""neutral""}","{""rsi"": 62.01769244532288, ""macd"": -0.0008640177780989688, ""macd_signal"": -0.007515440627923484, ""bb_upper"": 185.8848841046669, ""bb_lower"": 185.67791589533314, ""atr"": 0.10500574557863726, ""momentum"": 0.12999999999999545, ""stoch_k"": 72.37196853418642, ""stoch_d"": 56.669528208168664}"
BLOCKED_EUR_JPY_1770640114921,2026-02-09T12:28:35.920208,EUR_JPY,buy,trend_following,0.9,185.913,185.31300000000002,186.31300000000002,Pre-check margin insufficient: 0.03x,london,46706,140.06195279999866,250781.79919795005,"{""session"": ""london"", ""session_quality"": 0.9, ""volatility"": 0.10500574557863726, ""spread_pips"": 2.9000000000024784, ""trend_strength"": 1.0, ""trend_direction"": ""bullish"", ""order_flow"": 0.0, ""multi_tf_bias"": 1.0, ""regime"": ""neutral""}","{""rsi"": 62.01769244532288, ""macd"": -0.0008640177780989688, ""macd_signal"": -0.007515440627923484, ""bb_upper"": 185.8848841046669, ""bb_lower"": 185.67791589533314, ""atr"": 0.10500574557863726, ""momentum"": 0.12999999999999545, ""stoch_k"": 72.37196853418642, ""stoch_d"": 56.669528208168664}"
BLOCKED_EUR_JPY_1770640199312,2026-02-09T12:30:00.504155,EUR_JPY,buy,trend_following,0.9,185.9,185.3,186.3,Pre-check margin insufficient: 0.03x,london,46706,140.06195279999866,250764.26323548603,"{""session"": ""london"", ""session_quality"": 0.9, ""volatility"": 0.10500574557863726, ""spread_pips"": 2.899999999999636, ""trend_strength"": 1.0, ""trend_direction"": ""bullish"", ""order_flow"": 0.0, ""multi_tf_bias"": 1.0, ""regime"": ""neutral""}","{""rsi"": 62.01769244532288, ""macd"": -0.0008640177780989688, ""macd_signal"": -0.007515440627923484, ""bb_upper"": 185.8848841046669, ""bb_lower"": 185.67791589533314, ""atr"": 0.10500574557863726, ""momentum"": 0.12999999999999545, ""stoch_k"": 72.37196853418642, ""stoch_d"": 56.669528208168664}"
BLOCKED_EUR_JPY_1770640285956,2026-02-09T12:31:27.012363,EUR_JPY,buy,trend_following,0.9,185.88,185.28,186.28,Pre-check margin insufficient: 0.03x,london,46706,140.06195279999866,250737.2848316952,"{""session"": ""london"", ""session_quality"": 0.9, ""volatility"": 0.1030053346611466, ""spread_pips"": 2.400000000000091, ""trend_strength"": 1.0, ""trend_direction"": ""bullish"", ""order_flow"": 0.0, ""multi_tf_bias"": 1.0, ""regime"": ""neutral""}","{""rsi"": 62.18807546564628, ""macd"": 0.007901916299374534, ""macd_signal"": -0.004431948016795324, ""bb_upper"": 185.89128113001354, ""bb_lower"": 185.6744188699865, ""atr"": 0.1030053346611466, ""momentum"": 0.08400000000000318, ""stoch_k"": 80.85383619764188, ""stoch_d"": 69.44365349227127}"
BLOCKED_USD_JPY_1770640361014,2026-02-09T12:32:41.528088,USD_JPY,sell,trend_following,0.8550000000000001,156.496,157.096,156.096,Pre-check margin insufficient: 0.04x,london,48760,146.22148799999863,186766.29826848005,"{""session"": ""london"", ""session_quality"": 0.9, ""volatility"": 0.08932581891592252, ""spread_pips"": 1.8000000000000682, ""trend_strength"": -1.0, ""trend_direction"": ""bearish"", ""order_flow"": 0.0, ""multi_tf_bias"": -0.55, ""regime"": ""neutral""}","{""rsi"": 48.62543918303867, ""macd"": -0.04184813075528382, ""macd_signal"": -0.03917752926195319, ""bb_upper"": 156.73364497357124, ""bb_lower"": 156.35765502642852, ""atr"": 0.08932581891592252, ""momentum"": -0.034000000000020236, ""stoch_k"": 51.46469072849504, ""stoch_d"": 39.52461369061739}"
BLOCKED_EUR_JPY_1770640820174,2026-02-09T12:40:21.340389,EUR_JPY,buy,trend_following,0.9,185.911,185.311,186.311,Pre-check margin insufficient: 0.03x,london,46706,140.06195279999866,250779.10135757094,"{""session"": ""london"", ""session_quality"": 0.9, ""volatility"": 0.10073929251309258, ""spread_pips"": 2.7000000000015234, ""trend_strength"": 1.0, ""trend_direction"": ""bullish"", ""order_flow"": 0.0, ""multi_tf_bias"": 1.0, ""regime"": ""neutral""}","{""rsi"": 62.94061539467264, ""macd"": 0.020305427941792686, ""macd_signal"": 0.003458499642369441, ""bb_upper"": 185.9112424253277, ""bb_lower"": 185.66535757467233, ""atr"": 0.10073929251309258, ""momentum"": 0.19200000000000728, ""stoch_k"": 84.728243665443, ""stoch_d"": 84.09338812908568}"
