timestamp,balance,equity,daily_pnl,daily_return_pct,total_pnl,total_return_pct,open_positions,total_trades,winning_trades,losing_trades,win_rate,avg_win,avg_loss,profit_factor,sharpe_ratio,max_drawdown,current_drawdown,kelly_fraction,expectancy,best_session,worst_session
2026-02-06T22:25:31.304521,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-06T23:22:56.258287,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-07T00:20:06.069258,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-07T01:16:55.937793,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-07T02:13:33.485130,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-07T03:10:49.213007,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-07T04:07:42.033064,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-07T05:04:53.162003,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-07T06:02:08.529794,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-07T06:58:37.767411,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-07T07:56:20.548276,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-07T08:53:13.341781,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-07T09:50:27.967560,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-07T10:46:28.186261,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-07T11:42:59.363500,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-07T12:39:19.966960,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-07T13:36:31.107770,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-07T14:33:31.507104,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-07T15:30:50.130191,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-07T16:28:04.650977,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-07T17:25:36.545608,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-07T18:22:15.378117,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-07T19:18:15.939917,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-07T20:14:03.983737,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-07T21:11:11.108007,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-07T22:07:12.715220,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-07T23:03:36.369441,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-08T00:00:13.303287,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-08T00:56:57.553886,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-08T01:53:34.501927,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-08T02:50:53.564009,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-08T03:47:23.693836,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-08T04:43:17.575965,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-08T05:39:44.865101,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-08T06:16:26.649934,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-08T07:13:08.898134,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-08T08:10:06.077278,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-08T09:07:05.762790,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-08T10:04:15.995033,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-08T11:01:01.359185,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-08T11:56:51.832962,16993.0036,16993.0036,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,
